,Start_Time,Total_Accidents
1537,2020-03-30,151
1538,2020-03-31,122
1539,2020-04-01,157
1540,2020-04-02,157
1541,2020-04-03,138
1542,2020-04-04,77
1543,2020-04-05,66
1544,2020-04-06,196
1545,2020-04-07,118
1546,2020-04-08,110
1547,2020-04-09,156
1548,2020-04-10,143
1549,2020-04-11,70
1550,2020-04-12,70
1551,2020-04-13,171
1552,2020-04-14,164
1553,2020-04-15,180
1554,2020-04-16,146
1555,2020-04-17,104
1556,2020-04-18,84
1557,2020-04-19,68
1558,2020-04-20,172
1559,2020-04-21,148
1560,2020-04-22,198
1561,2020-04-23,152
1562,2020-04-24,194
1563,2020-04-25,95
1564,2020-04-26,64
1565,2020-04-27,167
1566,2020-04-28,174
1567,2020-04-29,121
1568,2020-04-30,232
1569,2020-05-01,178
1570,2020-05-02,102
1571,2020-05-03,69
1572,2020-05-04,0
1573,2020-05-05,91
1574,2020-05-06,104
1575,2020-05-07,177
1576,2020-05-08,179
1577,2020-05-09,81
1578,2020-05-10,75
1579,2020-05-11,181
1580,2020-05-12,160
1581,2020-05-13,165
1582,2020-05-14,162
1583,2020-05-15,156
1584,2020-05-16,84
